,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
10294,Industrial Sales Area Manager - B2B,Petromin ,"Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"['Sales/Retail', 'Mechanical', 'Sales', 'sales skills', 'Engineering', 'Sales Target']"
10295,Software QC/QA Specialist (on-site),Union Coop ,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'QC', 'QA', 'Quality Control', 'Quality Assurance', 'Testing', 'Computer Science', 'Software Development']"
10296,Senior Pruduct Manager,ArabWork ,"Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"['IT/Software Development', 'Project/Program Management', 'Program Development', 'Product Management']"
10297,Quality Control Engineer,M&A Glass Processing Company  ,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Quality', 'Engineering - Other', 'Engineering', 'ISO', 'Analysis', 'Manufacturing', 'Mechanical Engineering', 'Quality Management', 'Quality Control', 'Production']"
10298,Marketing Specialist,Union Coatings & Chemical Industries ,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'Design', 'Content', 'Market Analysis', 'Market Planning']"
10299,ERPNext Specialist/Data Analyst,Confidential ,"Alexandria, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Business Intelligence', 'BI', 'Data Analyst', 'Data Mining', 'Power BI', 'Data Analysis', 'ERPNext', 'ERP Implementation', 'Technical Support']"
10300,Procurement Officer,Sukari Gold Mines ,"Qusayr, Red Sea, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Purchasing', 'Vendors', 'Supply Chain', 'Engineering', 'Procurement', 'Logistics', 'Sourcing', 'English']"
10301,System Administrator,Sukari Gold Mines ,"Qusayr, Red Sea, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Hyper-V', 'Virtualization', 'DNS', 'DHCP', 'Active Directory', 'System Administration', 'Vmware', 'MCSE']"
10302,Web Application Developer,Alexa Hoste For Software ,"Ameria, Alexandria, Egypt ",Internship,Student,IT/Software Development,"['Information Technology (IT)', 'Web Application']"
10303,Recruitment Manager,FAMSUN Egypt Industry S.A.E ,"Ain Sokhna, Suez, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['males_only', 'Human Resources', 'Recruiting', 'Human Resources']"
10304,Etisalat UAE - Back office Agents ( Mail&Chat ),Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Customer Service/Support', 'Call Center', 'Customer Care', 'Customer Service', 'Customer Support', 'Customer Relations', 'Customer Satisfaction', 'Customer Experience', 'Inbound Calls', 'advisor']"
10305,Graphic Designer,Amazing ,"Shubra Alkhaymah, Qalubia, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Graphic Design', 'Marketing', 'Digital Marketing', 'Creative', 'Social Media', 'photoshop']"
10306,Account Sales,360 Business Partners ,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['Sales/Retail', 'sales skills', 'Sales', 'Sales Target', 'Customer Service', 'Account']"
10307,School Doctor,Modern American School of Egypt 2000 ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"['Medical/Healthcare', 'Doctor', 'Medical', 'Family Health', 'Healthcare']"
10308,Shift Supervisor,Papa John's Egypt ,"Salam City, Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"['Hospitality/Hotels/Food Services', 'Assistant', 'Hiring']"
10309,Early Years and Key Stage 1 Home Room Teachers RBS New Mansoura,Eduhive ,"New Damietta, Damietta, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"['Education/Teaching', 'Education', 'Home room', 'Teaching']"
10310,Flutter Developer,nichepharma ,"Sheikh Zayed, Giza, Egypt ",Internship,Student,0 - 1 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
10311,Backend Developer,nichepharma ,"Sheikh Zayed, Giza, Egypt ",Internship,Student,IT/Software Development,"['Engineering - Telecom/Technology', 'Computer Science', 'back-end', 'MongoDB', 'Software Development', 'RESTful', 'JavaScript']"
10312,Front End Developer,nichepharma ,"Sheikh Zayed, Giza, Egypt ",Internship,Student,IT/Software Development,"['Engineering - Telecom/Technology', 'Bootstrap', 'Angular', 'Computer Science', 'CSS3', 'front-end', 'Git', 'HTML5', 'JavaScript']"
10313,Key Stage 2 English Teacher in RBS New Mansoura,Eduhive ,"New Damietta, Damietta, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"['Education/Teaching', 'School Management', 'Teaching']"
10314,Key Stage 2 Math Teacher in RBS New Mansoura,Eduhive ,"Damietta, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"['Education/Teaching', 'School Management', 'Teaching']"
10315,Production Manager (Glass Manufacturing),Confidential ,"6th of October, Giza, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"['Operations/Management', 'Manufacturing/Production', 'Manufacturing Process', 'Production Management', 'Manufacturing Industry', 'Operations Management', 'Quality Management', 'Leadership']"
10316,Account Handling Associate,InHouse World Ltd  ,"Cairo, Egypt ",Full Time,Experienced,1 - 1 Yrs of Exp,"['Customer Service/Support', 'Tourism/Travel', 'Customer Support', 'English', 'Account Handling']"
10317,Content Creator,Misr Gulf Co. For Modern industries ,"Sheraton, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Content', 'content creator', 'Marketing', 'Social Media', 'media']"
10318,Business Development Engineer,Golden Developer ,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,1+ Yrs of Exp,"['Business Development', 'Business Development', 'Information Technology (IT)', 'Business Administration', 'business']"
10319,Human Resource Recruiter,Mico World Limited ,"Maadi, Cairo, Egypt ",Internship,Entry Level,Administration,"['Human Resources', 'Operations/Management', 'English', 'Hiring', 'Human Resources (HR)', 'Microsoft Office', 'Personnel', 'Recruitment', 'TO']"
10320,Call Center Agent Tourism,Ellithy Group ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'Tourism/Travel', 'Telesales', 'Sales', 'Tourism', 'Leisure', 'Customer Care', 'Communication']"
10321,Chairman Office Manager,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"['Administration', 'Operations/Management', 'Administration', 'chairman', 'Microsoft Office', 'office', 'Office management', 'Office manager', 'Secretary', 'Manager']"
10322,Technical Office Architect,MOMENTUM ,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'AutoCAD', 'Communication', 'Drawings', 'Software', 'Microsoft Office']"
10323,Customer Support Representative - Commerce ( Accounting ),CompactSoft International  ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'Customer Service/Support', 'Customer Service', 'Customer Support']"
10324,F&B Manager,Matrix Sports Club ,"Gharbia, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'Beverage', 'Food', 'food and beverage', 'Food service management', 'Management', 'Pos', 'Restaurant management software']"
10325,Accountant ( English ),CompactSoft International  ,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['females_only', 'Accounting/Finance', 'Accounting', 'Finance', 'Commerce', 'English']"
10326,English Instructor - Alexandria,English Zone ,"Alexandria, Egypt ",Full Time,Experienced,1 - 7 Yrs of Exp,"['Training/Instructor', 'Education', 'Instructor', 'CELTA', 'TEFL', 'Teaching', 'English', 'Training', 'FELT', 'tesol']"
10327,Administrative Officer,FlairsTech ,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Admin', 'Administration', 'Business Administration', 'Communication', 'Communication skills', 'Education', 'Management', 'Leadership']"
10328,Construction Manager,MBG ,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Operations/Management', 'Quality', 'Civil Engineering', 'Construction Management', 'Project', 'Project Management', 'Construction']"
10329,Secretary (Males ),MAM Electric ,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Microsoft Office', 'MS', 'Secretary', 'office', 'administrative', 'Administration']"
10330,SAP Consultant (FICO),Dawlia ,"6th of October, Giza, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"['IT/Software Development', 'Computer Science', 'SAP', 'SAP Consultant', 'Communication', 'Communication skills', 'Integration', 'Information technology']"
10331,Senior Maintenance and Facility Engineer,Aman Holding ,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'facilities management', 'facilities', 'Engineering', 'Maintenance', 'Management']"
10332,Sales & Operations Representative - Freight Forwarding,Confidential ,"6th of October, Giza, Egypt ",Freelance / Project,Experienced,1 - 5 Yrs of Exp,"['Logistics/Supply Chain', 'Sales', 'Shipping', 'Import / Export', 'Logistics', 'Transportation', 'Freight Forwarding', 'Air Freight', 'Ocean Freight']"
10333,IT Help Desk,Confidential ,"Sheraton, Cairo, Egypt ",Freelance / Project,Entry Level,2 - 4 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Help desk', 'Information Technology (IT)', 'IT', 'Customer Support', 'Computer Science', 'Software Development', 'Software Engineering']"
10334,Senior Administration Specialist,Aman Holding ,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Administration', 'Communication', 'Administration', 'Communication skills', 'Computer Skills', 'Management', 'English', 'Business Administration']"
10335,Executive Secretary,Mobica ,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,5 - 8 Yrs of Exp,"['Administration', 'Business Administration', 'Computer Skills', 'Communication', 'English', 'ERP', 'Secretary', 'Administration']"
10336,MEP Project Manager,MEP Construction ,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'FIDIC', 'Infrastructure', 'Mechanical', 'Mechanical Engineering', 'Project Management']"
10337,Travel Advisor / Packages Advisor,Airbus Tours Company ,"Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Sales/Retail', 'Tourism/Travel', 'Agent', 'Booking', 'Customer Care', 'Customer Service', 'Customer Support', 'English', 'Sales', 'Ticketing']"
10338,English Teacher,International Smart for Education Services ,"Faqus, Sharqia, Egypt ",Full Time,Experienced,Education/Teaching,"['Training/Instructor', 'English', 'Education', 'English Teaching', 'Teaching', 'Literature', 'language', 'english language', 'Educational']"
10339,Software Developer,dcodz ,"6th of October, Giza, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"['IT/Software Development', 'Ionic', 'HTML', 'CSS', 'AngularJS', 'Typescript', 'JavaScript']"
10340,English Instructor,Fluency Thru Courses ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Education/Teaching', 'English', 'Instructor', 'Teaching', 'Education', 'Training', 'Communication']"
10341,Planning Engineer,IMUT International Marathon United Technology ,"Obour City, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"['Logistics/Supply Chain', 'MRP', 'Planning', 'Production Planning', 'Engineering']"
10342,AI Intern,Barkotel ,"Sheraton, Cairo, Egypt ",Internship,Entry Level,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Artificial Intelligence', 'Computer Science', 'Software Engineering', 'Machine Learning', 'Computer Vision', 'Programming']"
10343,Mechanical Engineer / Maintenance Engineer,Confidential ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 8 Yrs of Exp,"['Installation/Maintenance/Repair', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Maintenance', 'Mechanical Engineering', 'Converting']"
10344,Administrative Assistant - Group Technology,Network International ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 10 Yrs of Exp,"['Accounting/Finance', 'Administration', 'Project/Program Management', 'Administration', 'Office management', 'Secretary', 'Management']"
10345,HR Manager,Confidential ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'Human Resources', 'Human Resources', 'HR', 'human resources management']"
10346,ElectricalSiteEngineer,altameerarabian ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Engineering']"
10347,Senior UI/UX Designer,TurnDigital ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Indesign', 'Web Design', 'User Interface', 'Graphic Design']"
10348,QC Manager,Confidential ,"Bourj Alarab, Alexandria, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Quality', 'Engineering', 'QC Engineer', 'Quality Control', 'QC', 'Project Management']"
10349,MechanicalSiteEngineer,altameerarabian ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Engineering']"
10350,Travel fulfillment agent,Alriyadh travel and tourism ,"Cairo, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,"['Tourism/Travel', 'Travel Arrangements', 'Hotel Booking']"
10351,Sales Coordinator,Nile Wood ,"Agouza, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['females_only', 'Administration', 'Customer Service/Support', 'Sales/Retail', 'Business Development', 'Customer Service', 'Marketing', 'Sales', 'sales skills']"
10352,Community Management Executive,EGYGAB Developments ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Business Development', 'Customer Service/Support', 'Operations/Management', 'Community Management', 'community', 'Management', 'Communication skills', 'Communication', 'Business Administration']"
10353,AutoCAD Draftsman,Tatweer Middle East and Africa ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Design', 'Engineering', 'Experience', 'Infrastructure', 'Revit']"
10354,School Principal,International Smart for Education Services ,"Faqus, Sharqia, Egypt ",Full Time,Manager,10+ Yrs of Exp,"['Administration', 'Operations/Management', 'Education/Teaching', 'International Schools', 'MBA', 'Education', 'Teaching', 'Operations', 'School Management', 'Headmaster']"
10355,Senior Social Media Specialist,AboZahra Developments  ,"Smouha, Alexandria, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Analyst/Research', 'Marketing', 'Planning', 'Research', 'Social Media', 'Communication skills', 'media']"
10356,Senior Property Consultant,Seldar Egypt ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Sales/Retail', 'Real Estate Sales', 'Communication', 'Sales Target', 'Real Estate', 'Sales', 'sales skills', 'English', 'Communication skills']"
10357,Talent Acquisition Specialist,Tamweely ,"Menia, Minya, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"['males_only', 'Human Resources', 'Recruitment', 'Human Resources (HR)', 'Interviewing', 'Recruiting', 'Microsoft Office', 'Talent Acquisition']"
10358,Customer Support Representative,CCS ,"Shorouk City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Customer Service/Support', 'Customer Service', 'Customer Support', 'Customer', 'Fluency in English', 'Microsoft Office', 'Skills', 'Microsoft']"
10359,Vice Principal,GEMS Education ,"New Cairo, Cairo, Egypt ",Full Time,Manager,3 - 7 Yrs of Exp,"['Administration', 'Administration', 'Education', 'Vice principal']"
10360,Outdoor Sales Executive,TRISAM Engineering ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,Engineering - Other,"['Outdoor Sales', 'sales skills']"
10361,Oracle Developer,Premier Services and Recruitment Overseas  ,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Oracle', 'Software Development']"
10362,Legal Officer,AMLAK Finance ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Legal', 'Legal', 'Law']"
10363,Receptionist,Confidential ,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Admin', 'Administration', 'Office management', 'Microsoft Office']"
10364,Sr. Human Recourses Specialist,El sewedy Trading  ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Human Resources (HR)', 'Microsoft Office', 'Recruitment', 'Talent acquisition', 'English']"
10365,Sales Operations Specialist,SMG Engineering Automotive ,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['females_only', 'Administration', 'Operations/Management', 'Sales/Retail', 'Operations specialist', 'Retail Operations']"
10366,Digital Marketing Specialist,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Sales/Retail', 'Fashion', 'campaigns', 'Marketing', 'Social Media', 'Content', 'Digital', 'Digital Marketing', 'media']"
10367,Planner ( Fashion Retail ),Al,"6th of October, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"['Operations/Management', 'Fashion', 'Purchasing/Procurement', 'Planning', 'Retail', 'analytical']"
10368,Operations Analyst,Cilantro ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,Operations/Management,"['Project/Program Management', 'Analyst/Research', 'Operations Management', 'Data Analysis', 'Data Analytics', 'Project Management']"
10369,Human Resources Generalist,Dawlia ,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"['Human Resources', 'Human Resources (HR)', 'Personnel', 'Recruitment', 'Employee Relations', 'Labor Law', 'Payroll']"
10370,Receptionist and Customer Service Representative,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Sales', 'Furniture', 'Retail', 'Show Room', 'Customer Service', 'Customer Care', 'Furniture Sales', 'Customer Support']"
10371,HSE Specialist - Elwahat,Royal Herbs  ,"Bahariya Oasis, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Engineering - Other', 'HSE', 'FMCG', 'Manufacturing', 'Science']"
10372,Quality Assurance Specialist,Amer Vision Group ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['R&D/Science', 'Quality', 'Engineering - Telecom/Technology', 'QA', 'Quality Assurance', 'Analysis', 'Skills', 'quality']"
10373,Software Developer-Internship,TTC Technologies ,"Heliopolis, Cairo, Egypt ",Internship,Entry Level,IT/Software Development,"['Engineering - Telecom/Technology', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Software Development', 'Software', 'Software Engineering']"
10374,Electrical Engineer,Dawlia ,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Engineering', 'Electrical', 'Power', 'Control Cable Connections', 'Maintenance', 'Drawings', 'English']"
10375,"Specialist, Student Experience",ESLSCA University ,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"['Administration', 'Customer Service/Support', 'Customer Support', 'Customer Service', 'Customer Care', 'Call Center', 'Communication skills', 'Communication']"
10376,Facility and Community Manager,Delta Capital for Urban Development ,"Dokki, Giza, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Operations/Management', 'Communication skills', 'Administration', 'Analysis', 'business', 'Business Administration', 'Microsoft Office', 'Communication', 'Facility Management', 'Maintenance']"
10377,Office Manager,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Administration', 'Operations/Management', 'Assistant', 'Communication', 'Front Office', 'Microsoft Office', 'excel', 'Administration', 'office', 'MS Office']"
10378,Nasr City Kids & Teens English Instructor,4level1 ,"Cairo, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,"['Education/Teaching', 'Training/Instructor', 'Instructor', 'Teaching', 'Teacher', 'Education', 'English Teacher', 'English', 'Communication skills', 'Computer Skills']"
10379,Senior ELV Design Engineer,Meinhardt Egypt ,"Cairo, Egypt ",Full Time,Experienced,10 - 12 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Electrical Engineering', 'Design', 'Revit']"
10380,BIM Manager,Meinhardt Egypt ,"Cairo, Egypt ",Full Time,Manager,12 - 15 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Management', 'BIM', 'Engineering']"
10381,Purchasing Manager (Exp. Contracting),Confidential ,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"['Logistics/Supply Chain', 'Operations/Management', 'Purchasing/Procurement', 'Business Administration', 'Procurement', 'Purchasing', 'Supply Chain', 'supply chain management']"
10382,Quality Specialist,Confidential ,"Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Quality', 'Pharmaceutical', 'Distribution', 'Pharmaceutical', 'Quality Assurance', 'Quality Control', 'QA']"
10383,Network & Security Supervisor,Confidential ,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'CEH', 'CCNP', 'Computer Engineering', 'PCNSE', 'NSE4', 'Information Technology (IT)', 'Computer Science', 'Networking']"
10384,Senior Business Analyst,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'analytical', 'Communication', 'business', 'Business Analysis', 'Business Development', 'Business Writing', 'Computer Engineering']"
10385,Property Advisor,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Sales/Retail', 'Real Estate', 'Sales', 'sales skills', 'Communication skills', 'Brokerage', 'Property Sales', 'Property']"
10386,Account Manager,Dm cloud ,"Haram, Giza, Egypt ",Full Time,Experienced,Other,"['Account Manager', 'Marketing']"
10387,ABAP Developer,Confidential ,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Engineering', 'HCM', 'SAP', 'SD', 'Information Technology (IT)', 'ABAP', 'Computer Engineering']"
10388,Office HR & Admin Supervisor,Fintactics Ventures  ,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 12 Yrs of Exp,"['Administration', 'Human Resources', 'Operations/Management', 'Administration', 'HR', 'Human Resources', 'Human Resources (HR)', 'Management', 'Communication skills', 'Communication']"
10389,Sales Leader - Technology Startup,Confidential ,"Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Real Estate', 'Technology', 'Startup', 'Sales Target', 'sales skills', 'Planning', 'Leadership']"
10390,General Accountant,Confidential ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Accounting/Finance', 'accountant', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'general accountant', 'Accounts Payable', 'Accounts', 'Communication']"
10391,Graphic Designer,Integrated Technology Group ,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"['Creative/Design/Art', 'IT/Software Development', 'Marketing/PR/Advertising', 'graphic designer', 'Design']"
10392,Senior Technical Team Lead,Fintactics Ventures  ,"New Cairo, Cairo, Egypt ",Full Time,Manager,7 - 12 Yrs of Exp,"['Banking', 'IT/Software Development', 'Project/Program Management', 'Information Technology (IT)', 'Software Development', 'Technical Lead', 'technical', 'Agile', 'Project Management', 'Python']"
10393,Supply Chain Manager,EFS ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'Logistics/Supply Chain', 'Operations/Management', 'Logistics', 'Purchasing', 'Procurement']"
10394,Customer Service Representative,Inertia Egypt ,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Customer Service/Support', 'Customer Service', 'Customer Care', 'Customer Support', 'Microsoft Office', 'Business Administration', 'Contact Center', 'Communication Skills', 'Call Center', 'Communication']"
10395,Plumbing Design Engineer,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 12 Yrs of Exp,"['Creative/Design/Art', 'Engineering - Mechanical/Electrical', 'Firefighting', 'Mechanical Engineering', 'Plumbing', 'Fire', 'Fire Fighting', 'HVAC', 'Engineering', 'Design']"
10396,Android Developer,Madar Soft ,"Fleming, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Android SDK', 'APIs', 'Android', 'Computer Science', 'Information Technology (IT)', 'Git', 'RESTful APIs', 'SDK']"
10397,Electrical Design Engineer,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 12 Yrs of Exp,"['Creative/Design/Art', 'Engineering - Mechanical/Electrical', 'Electrical', 'Electrical Engineering', 'Engineering', 'Design', 'CCTV', 'Fire Alarm', 'Lighting']"
10398,Sales Representative Indoor - Gharbia,Basata ,"Tanta, Gharbia, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Communication skills', 'Customer Service', 'sales skills']"
10399,Office Manager,Confidential ,"Dokki, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"['Administration', 'Administration', 'Office Management', 'Communication Skills', 'Germany', 'Microsoft Office', 'English', 'Communication', 'Secretary', 'excel']"
10400,Production Senior Engineer,GLOBAL AUTO ,"6th of October, Giza, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'Automotive', 'Engineering', 'Mechanical', 'MS Office']"
10401,French Collections Specialist,FlairsTech ,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Accounting/Finance', 'Customer Service/Support', 'AR', 'Billing', 'Collection', 'Accounting', 'collections', 'Communication', 'Customer Service', 'Finance']"
10402,Software Tester,CloudzLab ,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['IT/Software Development', 'Computer Science', 'Agile', 'Information Technology (IT)', 'Engineering', 'Quality Control', 'Quality Assurance', 'Regression Testing', 'Software Testing', 'Testing']"
10403,Backend Developer .Net,TTC Technologies ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', '.Net', 'Information Technology (IT)', 'Software Development', 'Computer Science', 'Development', 'Engineering', 'Backend', 'APIs']"
