,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
83,"J14648 - Secondary Art Teacher - Al Ain, UAE - Immediate",Edvectus ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Education/Teaching', 'curriculum', 'diploma', 'education', 'certification', 'valuedteachers']"
84,CCR Operator M/F,SPIE ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'sales', 'sales skills', 'indoor sales', 'outdoor sales', 'management', 'microsoft office']"
85,Construction Manager,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Accounting/Finance,"['Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Construction', 'Project Management', 'Engineering', 'Civil Engineering', 'Architecture', 'Management', 'Microsoft Office']"
86,Director of Food & Beverage,Kempinski Hotels ,"Dubai, United Arab Emirates ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'Sales/Retail', 'Management', 'Sales', 'Operations', 'Hospitality', 'Hotels', 'Customer Satisfaction', 'F&amp;B Operations']"
87,Talented Housekeepers / Room attendants for UHNWF,apt resources ,"Dubai, United Arab Emirates ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Sales/Retail', 'Pharmaceutical', 'hospitality', 'sales', 'housekeeping', 'microsoft office', 'maintenance', 'customer service', 'management']"
88,Butlers for UHNWF,apt resources ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'staff', 'housekeeping', 'butlers', 'services', 'sanitation']"
89,Marketing Intern,On,"Cairo, Egypt ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Market Research', 'E-marketing', 'Digital Marketing', 'Media', 'Sales']"
90,Sales Associate - Next - Kuwait,Alshaya Trade ,"Kuwait City, Kuwait ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales Skills', 'Sales', 'Sales Target', 'Customer Service', 'Outdoor Sales', 'Real Estate', 'Marketing']"
91,Receptionist,Worley Parsons ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'Administration', 'Office Management', 'Microsoft Office', 'Admin', 'Secretary', 'Customer Service', 'Receptionist']"
92,F&B Hostess,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Sales/Retail', 'Engineering - Telecom/Technology', 'F&amp;B', 'Sales', 'Sales Skills', 'Information Technology (IT)', 'Customer Service', 'Microsoft Office', 'Food &amp; Beverage']"
93,Custom Clearance Manager,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['Logistics/Supply Chain', 'Operations/Management', 'Customer Service', 'Customer Care', 'Customer Support', 'Logistics', 'Management', 'Supply Chain', 'Call Center']"
94,Paint Protection Film Technician-Care care,Premium Solutions Consultancy ,"Doha, Qatar ",Full Time,Not specified,Business Development,"['Pharmaceutical', 'Engineering - Mechanical/Electrical', 'pharmaceutical', 'medical', 'pharmacy', 'sales', 'english', 'inventory']"
95,Presales Engineer,PaxeraHealth ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Engineering', 'Sales Skills', 'Information Technology (IT)', 'Presales', 'Computer Science', 'Sales Target']"
96,Room Service Order Taker,Kempinski Hotels ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'administration', 'customer service', 'sales', 'microsoft office', 'food', 'hotel', 'business']"
97,Operations Geoscientists,Saudi Geophysical ,"Riyadh, Saudi Arabia ",Full Time,Not specified,C-Level Executive/GM/Director,"['drilling', 'geosteering', 'geological', 'geosteer', 'geoscientists']"
98,Inside Sales Representative - Supply Chain Software,Pipeline Gurus ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Medical/Healthcare', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Outdoor Sales']"
99,Resource Analyst 2-Ops,Oracle ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'analysis', 'project management', 'consulting', 'management', 'reporting']"
100,Project Manager (Data Management) - PMP Certified ( Saudi),D4DS ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['IT/Software Development', 'Project/Program Management', 'Project Management', 'Engineering', 'Information Technology (IT)', 'Management', 'Computer Science', 'Civil Engineering', 'Microsoft Office']"
